from,collection,total_lost
\x0f8f336246d730c09ffbbbe1e70034264c7d51c8,Jenkins the Valet,8
\x38e6f80e29d2f0ebf68e5ea8e177723cbf77dc87,Chimpers,8
\x398854e76b044a11ce48f771b47c916fa9bbf5b9,Cool Cats,8
\xe5333e925e4b4434d16e2e48dd6d81964ab3f34a,The Lobstars,8
\x3b75f1cf9f61365f286b0d34e98cc9c2c4845e18,Ape Reunion,8
\xfdefc9035a6df4ad6c68d93808f3a67828143468,Cereal Club,8
\x0f4152a1983ad9cec6b47d90ea6832aab306fec0,Apocalyptic Apes,8
\x80daec5719621fde706700d7851e57e200f51a68,Metroverse City Block,8
\x80daec5719621fde706700d7851e57e200f51a68,Pop Art Cats,8
\x61b26aacb7b6df8bc4094756928f291f31b9eada,MPL Official,7
\x01ada59e5cc059c9be80f83d8eb91de82490f3d9,fRiENDSiES,7
\x5d1324f8b0710e9aacfaf85535bcee601e8e5dad,Meebits,7
\x3c37be8c5590b4dc3057e79e26a72c16c69471e5,Polychain Monsters,7
\x100df52f0018b66a14598f781d3f3331fbdd1141,Ethereum Name Service (ENS),7
\x39313d429bb2b3b81b1ca0c50f24f8a6d79beeb9,EightBit Me,7
\xcf7f4c99cfec95a85c84eb025612b811de62a3c0,Mutant Shiba Club | MSC,7
\xd2ef5d8f4bd94590c67e610fde0d8356ada6a14e,Bulls & Apes Project - Genesis,7
\x3bafe44f9437652dec4aa7295a3ab700515a19e0,Ethereum Name Service (ENS),7
\x28a8535685e962db57efff73306ad9df58f27f13,Fancy Bears,7
\x7fb48df40bf81b54e5b646ed0211354ff633307b,PudgyPenguins,7
\x5c78c1bc0b42b2d5e676c0ed0c115fb569c904a5,PartyDegenerates,7
\x66fcf2472f541d80a50ebdfd9fd6929099eaaf35,Champions Ascension,7
\x3e31fe6dee1b21237fa3f733cd99dd7a3865e720,Never Fear Truth  by Johnny Depp,7
\x25c7489ba18f42326a3e0e3ec4c4569d1a6d142a,0xApes,7
\xfeebb7251827a89143049d400573f71f54676adf,Metroverse City Block,7
\x52a3fccece70b9c2f3b671a5bf940bc4b1581a80,HUXLEY Comics,7
\x07fc676a307f41dfa7e53b285cf87305b9ab940a,Ash Chapter Two: Metamorphosis,7
\x4dad1fe517d0fa0a2e0d9c94bca7b995ebfc55d3,Ethereum Name Service (ENS),7
\x30f50f984edbf4cafd052181eeb10a62886a2122,Ethereum Name Service (ENS),7
\x93c18a716bd3fef8550aaa6e0b726842edf396e8,Regulars,7
\xf07ebfe9890dece86ab500e3c72c19f1c1baa042,0xApes,7
\xf09a68e23d713cd7328704c3beeda0c4c7a6d4c0,Metroverse Blackout,7
\xdbaf4a9193f60ab43a3077a0b42bd7211e9c7df4,Ethereum Name Service (ENS),7
\xff8991b1fa6b84e141bde964d442ceae0348040e,Gray Boys,7
\x779eacaa6ea1f5032127d2f720c86245c9b64697,Okay Bears Yacht Club,7
\x99511b49c8452fd9a8463aa4cc2cc37921be5e39,GENE_SIS: The Girls of Armament,7
\x576a8b962a6cc88b424b66a25f4f16e9961894f8,Blvck Genesis,7
\xedd5de83b59f6be03200e4267dab59ea19824cc6,Los Muertos World,7
\x18dd509486858ac622ce217d9ed2ad89e4005f88,Meebits,7
\x327c287708467aa00e4984ef739fc31773eb8a2f,The Orbs by BT,7
\x72845a3d0350f70d034304f6d817c3f33ec86a1c,Furballs,6
\x9178d24b1456eda4fbc36cc1b4703d2fbaa234a9,Impact Theory Founder's Key,6
\x0a137709e5a3eac07d09e878068f807f9c82488d,Ape Reunion,6
\xcda8de8824a2e99ae8ce2095d43c8a405845ef71,MURI by Haus,6
\x1b18b87ba3258a61d8563478e0138b75c2df903c,Ethereum Name Service (ENS),6
\x12dcfd7af6b02da52b5b91f817ca4c8e209b725b,Apocalyptic Apes,6
\x09c81f941a7d2b611e84998e9643e18041143312,Ethereum Name Service (ENS),6
\x615981d5fe72f0fda9f19cd73d84eb32971939f8,Ape Reunion,6
\x576a8b962a6cc88b424b66a25f4f16e9961894f8,Something Token,6
\xb13b53c2165ddafa314b7323d857a9bf0e5266c9,Bulls & Apes Project - Genesis,6
\xae7b0174209c245cb832a72a2561ee2235c38e67,COOLDOGS,6
\x0d98eae8d16f95a4913da8ac63aba69953c87912,Animoon,6
\xef64061e05b87a4852ae1f218cabee492b4e94b0,goblintown.wtf,6
\xff8991b1fa6b84e141bde964d442ceae0348040e,rektguy,6
\xab8bb008f266d6a7dba16896c0caf3e57fdb6152,Meta-Legends,6
\x3d96e6dd529461748a85eaa2876a50d2b9008109,Something Token,6
\xe7d41599451a445184bc32a46d511ef41133d6de,Elftown.wtf,6
\xff53b23729401a257da6b64f4e769a73759be6ca,Otherdeed for Otherside,6
\xe565f6e807cd91cad3f2a43c6feaa666704cc72a,EightBit Me,6
\xe5333e925e4b4434d16e2e48dd6d81964ab3f34a,RumbleKongLeague,6
\x715cc980013fa23f198a42afbd9a479fcffb464e,The Seekers,6
\x3b570118b74fa0a39ad7c7fcfd75ef7a7a3e3301,The Lobstars,6
\x3a484b10e8c59d4e96872148b466d659717de082,Decentraland,6
\x14c841fc48f0627e4f55854ff3eff9335b971e12,Ethereum Name Service (ENS),6
\xdeedf219e4cb747bd30fbf4b02dd2ddd50b8eb4b,Ape Reunion,6
\xdc52ff28fda77c9cea31c8206685fcd6553b8b35,APE DAO REMIX!,6
\x0f2a3fd782a8a1156231c39be4f5c99d70299607,Everai Heroes: Duo,6
\x880693f6fa17395914a9c6f280f6af6eec6ea195,The Seekers,6
