block_time,victim_address,bad_actor_address,tx_hash
2022-07-11T20:54:14+00:00,0x39a51c428a70a5e01421be9ec596f529845050b4,0x3cafc86a98b77eedcd3db0ee0ae562d7fe1897a2,0x3d354788205954fac0e019a086039f954c747876a8bab2081132f1e4c4865e6e
2022-07-11T20:27:53+00:00,0xecc6b71b294cd4e1baf87e95fb1086b835bb4eba,0x3cafc86a98b77eedcd3db0ee0ae562d7fe1897a2,0x4ac7bb723c430d47b6871cc475da2661f9f2d848f6d9a220d125f33bc8850f7c
2022-07-11T20:19:07+00:00,0x15c853bdafc9132544a10ed222aeab1f239414fe,0x3cafc86a98b77eedcd3db0ee0ae562d7fe1897a2,0x1d9e4f021dd9e7f3b630cc28b6b097892762246f88747b62b77423ea10359808
2022-07-11T20:19:07+00:00,0x15c853bdafc9132544a10ed222aeab1f239414fe,0x3cafc86a98b77eedcd3db0ee0ae562d7fe1897a2,0x969d3013a271f98f381bace9b3772718e413dbacea2938a4eb7e090a165065f6
2022-07-11T20:18:51+00:00,0x15c853bdafc9132544a10ed222aeab1f239414fe,0x3cafc86a98b77eedcd3db0ee0ae562d7fe1897a2,0xdfa9c90711676552b3e5ff79bb1d99d22e8cb981615beab38c6a6e94a775b4e8
2022-07-11T20:16:14+00:00,0x15c853bdafc9132544a10ed222aeab1f239414fe,0x3cafc86a98b77eedcd3db0ee0ae562d7fe1897a2,0x1f5d7e647723f542abda34e83bdeb5c8dcbae08777efc2d4aac219ae113a87d4
2022-07-11T20:09:25+00:00,0xecc6b71b294cd4e1baf87e95fb1086b835bb4eba,0x3cafc86a98b77eedcd3db0ee0ae562d7fe1897a2,0xaf2524403a7d863a6d9c3fae904105c9cd17fdf6157fdf2d1153809d73f38093
2022-07-11T20:09:25+00:00,0xecc6b71b294cd4e1baf87e95fb1086b835bb4eba,0x3cafc86a98b77eedcd3db0ee0ae562d7fe1897a2,0xeb89ad8f76e604fdd495fb3d43c3405d7f5e8fbfa78a0fd93099c3e7a32937b5
2022-07-11T17:08:23+00:00,0x714a8660f0215e286f5bdaf933ef693fc3cdc74d,0x3cafc86a98b77eedcd3db0ee0ae562d7fe1897a2,0xb898d9e661e674109104106ec28f2fa54e2fd9204ec228fb7bfef18c47a54cb8
2022-07-11T17:04:51+00:00,0x9b2589785aa1d204ab779e45360173acda42cf82,0x3cafc86a98b77eedcd3db0ee0ae562d7fe1897a2,0x9e2222706caad0ecc15fd70517ddb03415f14cdf407a07e23b8da3bd78f64886
2022-07-11T16:36:48+00:00,0x714a8660f0215e286f5bdaf933ef693fc3cdc74d,0x3cafc86a98b77eedcd3db0ee0ae562d7fe1897a2,0x63d66fa46171067f3e096ce6cd2f6eb96db3a405e0b1179393e3c61019b5f5d3
2022-07-11T16:25:27+00:00,0xf21ef71bb86a9ed406d6fcb19ab8041e7323798a,0x727a4bfe7fb2f70c218a2408709651706ec60a81,0x933f3b96f7e1f83130b17850ecf6eb05ba3a2fc519f2ce93c985523f08daee14
2022-07-11T16:24:45+00:00,0xf21ef71bb86a9ed406d6fcb19ab8041e7323798a,0x727a4bfe7fb2f70c218a2408709651706ec60a81,0x04b088c7cbfd8407b537c760f7e635c904adee7e02026420859dedcf465bc7cf
2022-07-11T16:23:47+00:00,0xf21ef71bb86a9ed406d6fcb19ab8041e7323798a,0x727a4bfe7fb2f70c218a2408709651706ec60a81,0x04e6b3d2c23094851a5908a8925a66f287060ee45f42fb45af74ee11d3899c89
2022-07-11T16:22:37+00:00,0xf21ef71bb86a9ed406d6fcb19ab8041e7323798a,0x727a4bfe7fb2f70c218a2408709651706ec60a81,0xcbd43fcb1d0ebbf37469e3418f9c830b2364c595f69612c4a8329195478411d4
2022-07-11T16:17:15+00:00,0xf21ef71bb86a9ed406d6fcb19ab8041e7323798a,0x727a4bfe7fb2f70c218a2408709651706ec60a81,0x7057eb38b20a4b9a0b2cac2d778a2020c1c00d1eb4b449396a38bf43a4f1ff38
2022-07-11T16:14:07+00:00,0x71bb0d6fb740d052bd3cb3db600c0be6bf9a0b41,0x727a4bfe7fb2f70c218a2408709651706ec60a81,0xc986a8160aff1fe4b54385d78247cac9174a77e1ec3a32b8a5dc49e0b85fa299
